"Lemma","LemmaSort","POS","PrincipalParts","ShortDefinition"
"ὑπερέκεινα","υπερεκεινα","prep",NA,"beyond"
"ὑπερεκπερισσοῦ","υπερεκπερισσου","adv",NA,"superabundantly"
"ὑπερεκτείνω","υπερεκτεινω","verb","―, ―, ―, ―, ―","stretch out beyond measure"
"ὑπερεκχύννομαι","υπερεκχυννομαι","verb","―, ―, ―, ―, ―","overflow"
"ὑπερεντυγχάνω","υπερεντυγχανω","verb","―, ―, ―, ―, ―","intercede"
"ὑπερέχω","υπερεχω","verb","―, ―, ―, ―, ―","hold over, σπλάγχνα . .  ὑπείρεχον Ἡφαίστοιο; hold; hold above, ὑ. τὸ ῥύγχος ὅπωςἀναπνέῃ; to be above, rise above the horizon; overtop, be prominent above, στάντων μὲν Μενέλαοςὑπείρεχεν εὐρέαςὤμους; outflank; overtop, excel, outdo; prevail; to be outdone; have a wider extension; excess value; rise above, be able to bear; have over, ὑπερέχει"
"ὑπερηφανία","υπερηφανια","noun","―","arrogance"
"ὑπερήφανος","υπερηφανοσ","adj","―, ―","overweening, arrogant; magnificent, splendid, σοφία, ἔργον"
"ὑπερλίαν","υπερλιαν","adv",NA,"beyond measure, exceedingly"
"ὑπερνικάω","υπερνικαω","verb","―, ―, ―, ―, ―","prevail completely over"
"ὑπέρογκος","υπερογκοσ","adj","―, ὑπέρογκον","of excessive bulk; immoderate, excessive; difficult"
"ὑπεροράω","υπεροραω","verb","―, ―, ―, ―, ―","look over, look down upon; overlook, take no notice of; despise, disdain"
"ὑπεροχή","υπεροχη","noun","ὑπεροχῆς","projection, prominence; rising; pre-eminence, superiority; excess; supremacy, authority, dignity; periphrasis. prolixity; Excellency"
"ὑπερπερισσεύω","υπερπερισσευω","verb","―, ―, ―, ―, ―","abound much more, be in great excess"
"ὑπερπερισσῶς","υπερπερισσωσ","adv",NA,"beyond all measure"
"ὑπερπλεονάζω","υπερπλεοναζω","verb","―, ―, ―, ―, ―","abound exceedingly"
"ὑπερυψόω","υπερυψοω","verb","―, ―, ―, ―, ―","exalt exceedingly"
"ὑπερφρονέω","υπερφρονεω","verb","―, ―, ―, ―, ―","to be over-proud, have high thoughts; overlook, look down upon, despise; think slightly of; surpass in knowledge, ὑ. ἱστορίᾳ τὸν δῆμον"
"ὑπερῷον","υπερωον","noun","ὑπερῴου","the upper part of the house; attic, garret"
"ὑπέχω","υπεχω","verb","―, ―, ―, ―, ―","hold under; put; holding out; lend; hold; put under; supply, afford, furnish; uphold, support; undergo, suffer; to have to give; let him render; sustain, maintain, λόγον"
"ὑπήκοος","υπηκοοσ","adj","―, ―","hearkening, ἀμφοτέροισι; obeying, subject; liable to furnish; subjects"
"ὑπηρετέω","υπηρετεω","verb","―, ―, ―, ―, ―","do service on board ship, as a rower; to be a servant, do service; minister to, serve; serve; serve as ὑπηρέτης; to be a ὑπηρέτης; render military service; serve, be subordinate"
"ὑπηρέτης","υπηρετησ","noun","ὑπηρέτου","rower, τοὶ ὑ. τᾶν μακρᾶν ναῶν; underling, servant, attendant; the servant who attended each man-at-arms; assistant; petty officer; staff-officers in immediate attendance on the general, aides-de-camp, adjutants; servitor"
"ὕπνος","υπνοσ","noun","ὕπνου","sleep, slumber; sleep; Sleep"
"ὑπό","υπο","prep",NA,"úpa; from under, αὖτιςἀναστήσονται ὑ. ζόφου; under; by; from; at; accompanying; the angle ΘΔ*η ; laden with; NT; down under; behind; under whose hand, power; subjection; to the music of; towards and under; inscribed in; subjection, control, dependence; in the course of, during; about; under, below, beneath; casing; agency; somewhat, a little; underhand, secretly"
"ὑποβάλλω","υποβαλλω","verb","―, ―, ―, ―, ―","throw, put; lay under; subject, submit; bring in; with false suggestions; suborn; suggest, whisper; appropriate to oneself; attempt"
"ὑπογραμμός","υπογραμμοσ","noun","ὑπογραμμοῦ","writing-copy, pattern, model, outline; outline"
"ὑπόδειγμα","υποδειγμα","noun","ὑποδείγματος","sign, token, indication; illustration, picture showing how something is to be done; pattern; example, instance"
"ὑποδείκνυμι","υποδεικνυμι","verb","ὑποδείξω, ―, ―, ―, ―","show, indicate; indicate one's will, intimate; lay an information; show by tracing out, mark out; teach, indicate, ὑ. αὐτοῖςοἵουςεἶναι χρὴ; make a show of, pretend to"
"ὑποδέχομαι","υποδεχομαι","verb","―, ―, ―, ὑποδέδεγμαι, ―","receive into one's house, welcome, ὁ δέ με; entertain; give ear to, hearken to; admit, allow; take up; bear patiently; undertake, promise; accept as a responsibility, take in charge; receive in succession, take up; come next; intercept; catch, collect"
"ὑποδέω","υποδεω","verb","―, ―, ―, ὑποδέδεμαι, ―","bind; underbind; with"
"ὑπόδημα","υποδημα","noun","ὑποδήματος","sole bound under the foot with straps, sandal"
"ὑπόδικος","υποδικοσ","adj","―, ―","brought to trial"
"ὑποζύγιον","υποζυγιον","noun","ὑποζυγίου","beast for the yoke, beast of draught; an ass"
"ὑποζώννυμι","υποζωννυμι","verb","―, ―, ―, ―, ―","undergird; brace; come to man's estate"
"ὑποκάτω","υποκατω","prep",NA,"below, under; subordinate"
"ὑποκρίνω","υποκρινω","verb","―, ―, ―, ―, ―","separate gradually; subject to inquiry, interrogate; reply, make answer; expound, interpret, explain; speak in dialogue; deliver a speech, declaim; use histrionic arts, exaggerate; play a part, feign, pretend; deceive"
"ὑπόκρισις","υποκρισισ","noun","ὑποκρίσεως","reply, answer; playing a part; delivery; tone; playing a part, hypocrisy, outward show; after the manner of"
"ὑποκριτής","υποκριτησ","noun","ὑποκριτοῦ","one who answers; interpreter; one who plays a part; one who delivers, recites, declaimer; pretender, dissembler, hypocrite"
"ὑπολαμβάνω","υπολαμβανω","verb","―, ―, ―, ―, ―","take up by getting under; bear up, support; take up, seize; take up; take up, interrupt; receive and protect, ὁ Κῦροςὑπολαβω\ν του\ςφεύγοντας; accept; suspect, disbelieve; draw away, seduce; take away, remove; receive, ἀποτίσει . . ὁ\ ὑπείληφεν . . ἀργυρικὸν κεφάλαιον; hold up"
"ὑπόλειμμα","υπολειμμα","noun","―","remnant, remainder"
"ὑπολείπω","υπολειπω","verb","―, ὑπολειφθήσομαι, ―, ―, ὑπολειφθήσομαι","leave remaining; fail; fail, fall short; to be left remaining, ἐν μεγάρῳ ὑπελείπετο; so that they do; stay behind; to be left behind; to be inferior; fail, come to an end; leave behind one; retain; deduct"
"ὑπολήνιον","υποληνιον","noun","ὑποληνίου","vessel placed under a press"
"ὑπολιμπάνω","υπολιμπανω","verb","―, ―, ―, ―, ―","leave behind; leave over, μὴ ὑπολιμπάνεσθε; fail"
"ὑπομένω","υπομενω","verb","ὑπομενῶ, ―, ὑπομεμένηκα, ―, ―","stay behind; abide; to be patient under, abide patiently, submit to; stand one's ground, stand firm; submit, bear; shall dare; await; promise; admit of; do"
"ὑπομιμνῄσκω","υπομιμνησκω","verb","ὑπομνήσω, ὑπομνησθήσομαι, ―, ―, ὑπομνησθήσομαι","put; bring to one's mind, mention, suggest; provoke; make mention of; let him; call to mind, remember; make mention"
"ὑπόμνησις","υπομνησισ","noun","ὑπομνήσεως","reminding; mention, ὑ. ποιεῖσθαί τινος; provocation; recurrence, relapse; treatise"
"ὑπομονή","υπομονη","noun","ὑπομονῆς","remaining behind; endurance; obstinacy; power to endure; enduring to do"
"ὑπονοέω","υπονοεω","verb","―, ―, ―, ―, ―","suspect; surmise, conjecture, guess at; suppose, consider"
"ὑπόνοια","υπονοια","noun","ὑπονοίας","suspicion, conjecture, guess; suggestion; the real meaning which lies at the bottom"
"ὑποπλέω","υποπλεω","verb","―, ―, ―, ―, ―","sail under, τὴν Κύπρον; sail underground, ἐςτὸν Τίβεριν δι' [ὑπονόμων"
"ὑποπνέω","υποπνεω","verb","―, ―, ―, ―, ―","blow underneath; blow gently"
"ὑποπόδιον","υποποδιον","noun","ὑποποδίου","footstool"
"ὑπόστασις","υποστασισ","noun","ὑποστάσεως","standing under, supporting; resistance; lying in ambush; that which settles at the bottom, sediment; an accumulation of pus, abscess; cumuli; jelly; duration; coming into existence, origin; foundation; ground-work, subject-matter, argument; plan, purpose; confidence, courage, resolution, steadiness; undertaking, promise; substantial nature, substance, δύσσχιστα, τῷ κολλώδη τὴν ὑ. ἔχειν; substance, actual existence, reality; real nature, essence; the full expression; camp; wealth, substance, property; title deeds, documents recording ownership of property"
"ὑποστέλλω","υποστελλω","verb","―, ―, ―, ―, ―","draw in, contract, ὑπέστειλ' ἱστίον; reduce; draw back for shelter; cover, τᾷδ' ὑπεστάλη κόνει; to be reduced in size; draw back, φασὶ του\ςθορυβώδειςκαὶ προυνίκουςὑποστέλλειν αὐτοῦ τῇ παρόδῳ; take away, remove; belong; place restrictions on oneself; avoid; shrink before, hold in undue awe; delitesco"
"ὑποστολή","υποστολη","noun","ὑποστολῆς","fasting; omission of a letter; shrinking, timidity, evasion; concealment, dissimulation"
"ὑποστρέφω","υποστρεφω","verb","ὑποστρέψω, ―, ―, ―, ―","turn round about; roll up; revolve beneath; turn about; return; turn away; reversely; retract the accent"
"ὑποστρωννύω","υποστρωννυω","verb","―, ―, ―, ―, ―","spread, lay; bestrew with; to be subject to"
"ὑποταγή","υποταγη","noun","ὑποταγῆς","subordination, subjection; post-position; copy"
"ὑποτάσσω","υποτασσω","verb","―, ὑποταγήσομαι, ―, ὑποτέταγμαι, ὑποταγήσομαι","place; post in the shelter of; subject; underlie, to be implied in; put after; take as a minor premiss; govern the subjunctive"
"ὑποτίθημι","υποτιθημι","verb","―, ―, ―, ―, ―","place under; subjoin, enclose, append; set before; enjoin; instruct, demonstrate; propose to oneself as a task; propose to oneself as a subject of discussion; assume as a preliminary; assume, suppose, estimate; establish as a preliminary, premise, ταῦθ' ὑποθεὶςἐπεῖπεν ὡς; represent as ὑποκείμενον; couch, present; put down as a deposit; stake, hazard, venture"
"ὑποτρέχω","υποτρεχω","verb","―, ―, ―, ―, ―","run in under, ὑπέδραμε καὶ λάβε γούνων; run under, stretch away under; run in between, intercept; trip up, overreach, τῶν στρατηγῶν ὑποδραμω\ν του\ς; interrupt; usurp; overrun, steal over, ἔρευθοςὑ; insinuate oneself into any one's good graces, flatter, fawn upon; get into"
"ὑποτύπωσις","υποτυπωσισ","noun","ὑποτυπώσεως","sketch, outline; model, pattern; by which a matter was vividly sketched in words"
"ὑποφέρω","υποφερω","verb","―, ―, ―, ―, ―","carry away under; bring close together, τὰ ὀπίσθια σκέλη; bear; endure, submit to; subjoin, add; hold out, present; hold out, suggest, proffer; there are suggestions of; carry down; bring down; bring"
"ὑποχωρέω","υποχωρεω","verb","―, ―, ―, ―, ―","go back, retire, withdraw; withdraw from; gave; avoid, shun; cede, yield; pass off below; go on steadily, εἰρεσία ὑπεχώρησεν ἐκ παλαμᾶν"
"ὑπωπιάζω","υπωπιαζω","verb","―, ―, ―, ―, ―","strike; bruise, mortify"
"ὗς","υσ","noun","―","the wild swine; sus foeta; sus Minervam; sú, sw-in; whither"
"ὕσσωπος","υσσωποσ","noun","ὑσσώπου","hyssop, Origanum hirtum"
"ὑστερέω","υστερεω","verb","―, ὑστερηθήσομαι, ὑστέρηκα, ―, ὑστερηθήσομαι","to be behind; come later than, come too late for, ὑστέρησαν; come after; lag behind, be inferior to; fall below, fail to do justice to; fail to obtain, lack; fail, come to grief; fail, be wanting"
"ὑστέρημα","υστερημα","noun","ὑστερήματος","shortcoming, deficiency, need"
"ὑστέρησις","υστερησισ","noun","ὑστερήσεως","shortcoming, deficiency, need"
"ὕστερος","υστεροσ","adj","―, ὕστερον","latter, last; latter; coming after, behind; next; later, too late; too late for; posterity; second; posterior; behind; later, afterwards; after; last; hindmost; last day; at last"
"ὑφαντός","υφαντοσ","adj","―, ―","woven"
"ὑψηλός","υψηλοσ","adj","―, ὑψηλόν","high, lofty; high, lofty, stately, proud, ὄλβος ἀρεταί, κλέος; upraised; sublime"
"ὑψηλοφρονέω","υψηλοφρονεω","verb","―, ―, ―, ―, ―","to be high-minded"
"ὕψιστος","υψιστοσ","adj","―, ὕψιστον","highest, loftiest; highest"
"ὕψος","υψοσ","noun","ὕψους","height; summit, crown; sublimity, grandeur"
"ὑψόω","υψοω","verb","ὑψώσω, ὑψωθήσομαι, ―, ―, ὑψωθήσομαι","lift high, raise up; elevate, exalt; represent in the 'grand manner'; mount; attain exaltation"
"ὕψωμα","υψωμα","noun","ὑψώματος","elevation, height; exaltation"
"φάγος","φαγοσ","noun","―","glutton"
"φαιλόνης","φαιλονησ","noun","φαιλόνους","paenula, thick upper garment, cloak"
"φαίνω","φαινω","verb","φανῶ, φανήσομαι, ―, ―, φανήσομαι","A ren; bring to light, cause to appear; make known, reveal, disclose; show; make; show forth, display; set forth, expound; inform against; call up; give light, shine; Saturn; appeared; come to light, appear, φάνεν δέ οἱ εὐρέεςὦμοι; appearing; come into being, φανεὶςδύστηνος; come about; appear to be; appears; apparent; what is to be seen, show; yes, Prt; it seems good, ἐάν σοι φαίνηται"
"Φάλεκ","φαλεκ","noun","Φάλεκ","Peleg"
"φανερός","φανεροσ","adj","φανερά, φανερόν","visible, manifest, ἡ στήλη ἔχει πάντα φ.; shining, illustrious; real; in possession; in hand, in cash, μηδὲν φανερὸν κεκτῆσθαι; open; openly, manifestly; openly; manifest, conspicuous; open, frank; certain"
"φανερός","φανεροσ","adv",NA,"visible, manifest, ἡ στήλη ἔχει πάντα φ.; shining, illustrious; real; in possession; in hand, in cash, μηδὲν φανερὸν κεκτῆσθαι; open; openly, manifestly; openly; manifest, conspicuous; open, frank; certain"
"φανερόω","φανεροω","verb","φανερώσω, φανερωθήσομαι, ―, πεφανέρωμαι, φανερωθήσομαι","make manifest; make known"
"φανέρωσις","φανερωσισ","noun","φανερώσεως","disclosure; manifestation; becoming visible"
"φανός","φανοσ","noun","φανοῦ","light, bright; washed clean; bright, joyous; conspicuous; clearly; torch; cover; still"
"Φανουήλ","φανουηλ","noun","Φανουήλ","Phanuel"
"φαντάζω","φανταζω","verb","―, ―, ―, ―, ―","make visible, present to the eye; become visible, appear; to be terrified by visions; make a show; make oneself like; appear; to be informed against"
"φαντασία","φαντασια","noun","φαντασίας","appearing, appearance; appearance, ἐμποιοῦντα τὴν φ; imagination; faculty of imagination; creative imagination; use of imagery; prestige, reputation"
"φάντασμα","φαντασμα","noun","―","apparition, phantom; phenomena"
"φάραγξ","φαραγξ","noun","―","cleft, chasm"
"Φαραώ","φαραω","noun","Φαραώ","Pharaoh"
"Φαρές","φαρεσ","noun","Φαρές","Perez"
"Φαρισαῖος","φαρισαιοσ","noun","Φαρισαίου","Pharisee"
"φαρμακεία","φαρμακεια","noun","φαρμακείας","use of drugs; poisoning; remedy"
"φάρμακον","φαρμακον","noun","φαρμάκου","drug; healing remedy, medicine; a medicine for; enchanted potion, philtre; poison; lye; remedy, cure; a means of producing; a remedy; dye, paint, colour; chemical reagent"
"φαρμακός","φαρμακοσ","noun","φαρμακοῦ","one sacrificed"
"φάσις","φασισ","noun","―","denunciation, information laid; appearance; heliacal rising; phases; an appearance, trace; utterance, expression; statement, proposition; affirmation; mere assertion; judgement, sentence; rumour"
"φάσκω","φασκω","verb","―, ―, ―, ―, ―","say, affirm, assert; think, deem, expect; say, promise"
"φάτνη","φατνη","noun","φάτνης","manger, crib; haunts; socket of tooth; Manger"
"φαῦλος","φαυλοσ","adj","―, φαῦλον","cheap, easy, slight, paltry; easy, slight; simple, ordinary; mean, bad; low; inefficient, bad; careless, thoughtless, indifferent; simple, unaffected; ill"
"φέγγος","φεγγοσ","noun","φέγγους","light, splendour, lustre; moonlight; the light; day; light; lustre"
"φείδομαι","φειδομαι","verb","φείσομαι, ―, ―, ―, ―","spare; to be sparing, live thriftily; have consideration for; draw back from, refrain from; have mercy upon . . , Je"
"φειδομένως","φειδομενωσ","adv",NA,"sparingly, thriftily"
"φέρω","φερω","verb","οἴσω, ἐνεχθήσομαι, ―, ―, ἐνεχθήσομαι","fero; bear; bear, convey; bring to bear, μένος; lead, direct; bear along; endure, suffer; bring, fetch; bring, offer, present; bring, produce, cause; bring; pay; apply, refer; give; bring forth, produce; carry off; carry away as booty; carry off, gain; lead; stretch, extend; b; point; carry; refer; come, now, well; come; suppose, grant; destiny, fate, τὸ φ. ἐκ θεοῦ [καλῶσ] φέρειν [χρή; he brought and; went and; occurring; to be borne; with a rush, at full speed; turn out, prosper; behave, ὑποκριτικῶς ἀστάτως; have an opinion, ὅπωςἠνέχθη περὶ τοῦ σφυγμοῦ"
"φεύγω","φευγω","verb","φεύξομαι, ―, ―, ―, ―","flee, take flight; the purpose; have recourse; shun; flee, avoid, escape; seek to avoid, shirk; escaped, slipped from his hands; go off', turn sour; flee one's country; to be expelled, driven out; go into exile, live in banishment; to be accused; plead in defence, δεῖ τοί σε φεύγειν . . ὡςοὐκ ἔχουσι κῦρος[οἱ νόμοι"
"Φῆλιξ","φηλιξ","noun","Φήλικος","Felix"
"φήμη","φημη","noun","―","a; utterance prompted by the gods, significant; report, rumour; report; songs of praise; any voice; common report; message"
"φημί","φημι","verb","―, ―, ―, ―, ―","Spir. Prooem., Eratosth.Prooem; say, affirm, assert; think, deem, suppose; say; they say, it is said; said; speaking; mention; say yes, affirm, assert, καὶ του\ςφάναι; command, order"
"Φῆστος","φηστοσ","noun","Φήστου","Festus"
"φθάνω","φθανω","verb","―, ―, ―, ―, ―","come; to be beforehand with, overtake, outstrip; extend; reach; to be applied; is beforehand; previous; before; already; first; no sooner; be too quick; shall"
"φθαρτός","φθαρτοσ","adj","φθαρτή, φθαρτόν","destructible, perishable"
"φθέγγομαι","φθεγγομαι","verb","―, ―, ―, ―, ―","utter a sound; utter a syllable; neigh, whinny; creak; to name, call by name; sing"
"φθείρω","φθειρω","verb","φθερῶ, φθαρήσομαι, ―, ―, φθαρήσομαι","destroy; corrupt, bribe; seduce; ruin, spoil, ποσὶν φθείροντα πλοῦτον ἀργυρωνήτουςθ' ὑφάς; may you perish! ruin take you!; will be deranged, disordered; to be morally corrupted; wander, drift; pine away in"
"φθινοπωρινός","φθινοπωρινοσ","adj","―, φθινοπωρινόν","autumnal"
"φθόγγος","φθογγοσ","noun","φθόγγου","any clear, distinct sound; speech; sound; sounds; notes"
"φθονέω","φθονεω","verb","―, ―, ―, ―, ―","bear ill-will; envy; to envy; resent; take it ill; refuse from feelings of envy; grudge, refuse to grant; to be envied"
"φθόνος","φθονοσ","noun","φθόνου","ill-will; cause for indignation; jealousy; refusal from feelings of ill-will"
"φθορά","φθορα","noun","φθορᾶς","destruction, ruin; loss by death; passing out of existence, ceasing to be; deterioration, εἰςκαρπογονίαν; loss by deterioration; seduction, ἐλευθέρων; abortion; gradation of colours; storm-tossings"
"φιάλη","φιαλη","noun","φιάλης","bowl; broad, flat bowl; collecting-bowl; shield; ornament used in a coffered ceiling"
"φιλάγαθος","φιλαγαθοσ","adj","―, ―","loving goodness"
"Φιλαδέλφεια","φιλαδελφεια","noun","Φιλαδελφείας","Philadelphia"
"φιλαδελφία","φιλαδελφια","noun","φιλαδελφίας","brotherly love"
"φιλάδελφος","φιλαδελφοσ","adj","―, ―","loving one's brother; NT, loving the brethren; mock orange, Philadelphus coronarius; stones"
"φίλανδρος","φιλανδροσ","adj","φίλανδρος, ―","loving men;; loving masculine habits; lewd; loving one's husband"
"φιλανθρωπία","φιλανθρωπια","noun","φιλανθρωπίας","humanity, benevolence, kind-heartedness, humane feeling; courtesy; Clemency; love to man, Ep. Tit; mildness; concession, privilege"
"φιλάνθρωπος","φιλανθρωποσ","adv",NA,"loving mankind, humane, benevolent, tender-hearted; loving men; humane, humanizing; appealing to human feeling; generous, τροφὴ -οτέρα; concessions, grants, privileges, immunities; benefaction, endowment, gratuity; letter expressing friendly feelings"
"φιλαργυρία","φιλαργυρια","noun","―","love of money, avarice"
"φιλάργυρος","φιλαργυροσ","adj","―, ―","fond of money, avaricious"
"φίλαυτος","φιλαυτοσ","adj","―, ―","loving oneself"
"φιλέω","φιλεω","verb","―, ―, πεφίληκα, ―, ―","love, regard with affection; treat affectionately; regard with affection; show outward signs of love; like, approve; pray; love; usually; it is usual"
"φιλήδονος","φιληδονοσ","adj","―, ―","fond of pleasure; wont to bring delight"
"φίλημα","φιλημα","noun","φιλήματος","kiss; cosmetics"
"Φιλήμων","φιλημων","noun","Φιλήμωνος","Philemon"
"Φίλητος","φιλητοσ","noun","―","Philetus"
"φιλία","φιλια","noun","―","affectionate regard, friendship; friendliness, amiability; fondness; fondness, liking for; the natural force which unites discordant elements and movements; three"
"Φιλιππήσιος","φιλιππησιοσ","noun","Φιλιππησίου","Philippian"
"Φίλιπποι","φιλιπποι","noun","Φιλίππων","Philippi"
"Φίλιππος","φιλιπποσ","noun","Φιλίππου","Philip"
"φιλόθεος","φιλοθεοσ","adj","―, ―","loving God, pious"
"Φιλόλογος","φιλολογοσ","noun","Φιλολόγου","Philologus"
"φιλονεικία","φιλονεικια","noun","―","love of victory, rivalry, contentiousness; competition, emulation, emulous eagerness"
"φιλόνεικος","φιλονεικοσ","adj","―, ―","fond of victory, contentious; in eager rivalry"
"φιλοξενία","φιλοξενια","noun","φιλοξενίας","hospitality"
"φιλόξενος","φιλοξενοσ","adj","―, ―","loving strangers, hospitable"
"φιλοπρωτεύω","φιλοπρωτευω","verb","―, ―, ―, ―, ―","wish"
"φίλος","φιλοσ","adj","φίλη, ―","beloved, dear; friend, κουρίδιοςφίλος; dear one, friend; an object of love, τὸ; friends; pleasant, welcome; pleases; one's own; loving, friendly; fond of; fain; in a friendly, kindly spirit"
"φιλοσοφία","φιλοσοφια","noun","φιλοσοφίας","love of knowledge, pursuit there of, speculation; systematic, methodical treatment; philosophy"
"φιλόσοφος","φιλοσοφοσ","noun","φιλοσόφου","lover of wisdom; philosopher; loving knowledge, philosophic; scientific, philosophic; ingenious"
"φιλόστοργος","φιλοστοργοσ","adj","―, ―","loving tenderly, affectionate"
"φιλότεκνος","φιλοτεκνοσ","adj","φιλότεκνος, ―","loving one's children"
"φιλοτιμέομαι","φιλοτιμεομαι","verb","―, ―, ―, ―, ―","love; to place one's fame; strive eagerly to; present with"
"φιλόφρων","φιλοφρων","adv",NA,"kindly disposed, friendly"
"φιμόω","φιμοω","verb","φιμώσω, φιμωθήσομαι, ―, πεφίμωμαι, φιμωθήσομαι","muzzle"
"Φλέγων","φλεγων","noun","Φλέγοντος","Phlegon"
"φλογίζω","φλογιζω","verb","―, ―, ―, ―, ―","set on fire, burn; burn, blaze"
"φλόξ","φλοξ","noun","φλογός","flame; fire; flame, φ. κεραυνία, οὐρανία; fiery; wallflower, Cheiranthus Cheiri"
"φλυαρέω","φλυαρεω","verb","―, ―, ―, ―, ―","talk nonsense, play the fool; prate against"
"φλύαρος","φλυαροσ","adj","φλύαρος, ―","silly talk, foolery, nonsense; tattler, babbler"
"φοβερός","φοβεροσ","adj","φοβερά, φοβερόν","fearful; causing fear, terrible; regarded with fear; impressive, awe-inspiring; afraid, timid; caused by fear, troubled, panic; threateningly, in a terrifying manner; timidly"
"φοβέω","φοβεω","verb","―, φοβηθήσομαι, ―, ―, φοβηθήσομαι","put to flight; terrify, alarm; threaten with; to be put to flight; to be seized with fear, be affrighted; in terror; to be afraid of; fear; fear to; stand in awe of, dread"
"φόβητρον","φοβητρον","noun","φοβήτρου","scarecrow, bugbear, terror"
"φόβος","φοβοσ","noun","φόβου","panic flight; panic fear; terror; object"
"Φοίβη","φοιβη","noun","Φοίβης","Phoebe"
"Φοινίκη","φοινικη","noun","Φοινίκης","Phoenicia"
"Φοῖνιξ","φοινιξ","noun","Φοίνικος","Phoenix"
"φονεύς","φονευσ","noun","φονέως","slayer; destroyer"
"φονεύω","φονευω","verb","φονεύσω, ―, ―, ―, ―","murder, kill; stain with blood"
"φόνος","φονοσ","noun","φόνου","murder, slaughter; murder, homicide, δικάζειν του\ςβασιλέαςαἰτιῶν φόνου; death as a punishment; blood when shed, gore; corpse; rascal that deserves death, gallowsbird; a death"
"φορέω","φορεω","verb","φορέσω, ―, ―, ―, ―","repeated; bear constantly, wear; possess, hold, bear, ἀγλαΐαςφ; bear, suffer; extend, last, ἃ φορεῖ ἐπὶ ἡμέραςδεκαπέντε; to be borne along; to be carried away; fetch for oneself, fetch regularly"
"φόρον","φορον","noun","φόρου","forum"
"φόρος","φοροσ","noun","φόρου","that which is brought in by way of payment, tribute; any payment"
"φορτίζω","φορτιζω","verb","―, ―, ―, πεφόρτισμαι, ―","load"
"φορτίον","φορτιον","noun","φορτίου","load, burden, freight; wares, merchandise; produce, crops; a child in the womb; burden"
"Φορτουνᾶτος","φορτουνατοσ","noun","Φορτουνάτου","Fortunatus"
"φραγέλλιον","φραγελλιον","noun","φραγελλίου","flagellum; Reisen in Lykien"
"φραγελλόω","φραγελλοω","verb","―, ―, ―, ―, ―","flagellare"
"φραγμός","φραγμοσ","noun","φραγμοῦ","fencing in, blocking up; intestinal obstruction; fence, paling; partition; with a bristly beard"
"φράζω","φραζω","verb","―, ―, ―, ―, ―","point out, show; show forth, tell, declare, λόγον, ἔπος ὄνομα; cultivate style; tell; give counsel, advise, suggest; indicate to oneself; purpose, plan, contrive, φ. τινὶ κακά, θάνατον, ὄλεθρον; think, suppose, believe, imagine; perceive, observe; watch, guard; beware of, ξύλινον λόχον"
"φράσσω","φρασσω","verb","―, φραγήσομαι, ―, ―, φραγήσομαι","fence in, hedge round; put up as a fence, φράξαντεςδόρυ δουρί, σάκοςσάκεϊ; stop up, block; bar, stop"
"φρέαρ","φρεαρ","noun","φρέατος","an artificial well; tank, cistern, reservoir; oil-jar; albiur"
"φρεναπατάω","φρεναπαταω","verb","―, ―, ―, ―, ―","deceive"
"φρεναπάτης","φρεναπατησ","noun","φρεναπάτου","soul-deceiver"
"φρήν","φρην","noun","φρενός","midriff; heart; mind; will, purpose"
"φρίσσω","φρισσω","verb","―, ―, ―, ―, ―","to be rough; ruckling; rippling; chill, shiver, shudder; shiver; shudder; feel a holy thrill; thrill"
"φρονέω","φρονεω","verb","φρονήσω, ―, ―, ―, ―","to be minded; have understanding, be wise, prudent; think; feel by experience, know full well; to be fain; to have; to be; opinion, τά τινοςφρονεῖν; comprehend; to be in possession of one's senses"
"φρόνημα","φρονημα","noun","―","mind, spirit; thought, purpose, will; high spirit, resolution, pride; presumption, arrogance; heart, breast"
"φρόνησις","φρονησισ","noun","φρονήσεως","purpose, intention; thought, ἰδία φ.; sense; judgment; arrogance, pride; practical wisdom, prudence in government and affairs; three"
"φρόνιμος","φρονιμοσ","adj","φρόνιμος, ―","in one's right mind, in one's senses; showing presence of mind; sensible, prudent; sagacious; practical wisdom, prudence"
"φρόνιμος","φρονιμοσ","adv",NA,"in one's right mind, in one's senses; showing presence of mind; sensible, prudent; sagacious; practical wisdom, prudence"
"φροντίζω","φροντιζω","verb","―, ―, ―, ―, ―","consider, reflect, take thought; to be thoughtful; consider, ponder; take thought for, give heed to; see to, provide for, furnish, σιτάριον, χρήσιμα; reck; to be an object of thought"
"φρουρέω","φρουρεω","verb","φρουρήσω, ―, ―, ―, ―","keep watch; watch, guard; hold in subjection; occupy; bind; watch for, observe; to be on one's guard against, beware of"
"φρυάσσομαι","φρυασσομαι","verb","―, ―, ―, ―, ―","neigh, whinny and prance; to be wanton, haughty, insolent"
"φρύγανον","φρυγανον","noun","φρυγάνου","dry stick; undershrub"
"Φρυγία","φρυγια","noun","Φρυγίας","Phrygia"
"Φύγελος","φυγελοσ","noun","―","Phygelus"
"φυγή","φυγη","noun","―","flight; place of refuge; slipping; banishment, exile; body of exiles"
"φυλακή","φυλακη","noun","φυλακῆς","prison, jail; watch; guard; haunt, lair"
"φυλακίζω","φυλακιζω","verb","―, ―, ―, ―, ―","throw into prison"
"φυλακτήριον","φυλακτηριον","noun","φυλακτηρίου","guarded post, fort, castle; safeguard, security; guard"
